ImageA,ImageB,Match_Unmatch
Siamese\ATT_Data\s20\4.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s9\3.pgm,Siamese\ATT_Data\s9\3.pgm,1
Siamese\ATT_Data\s29\2.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s15\8.pgm,Siamese\ATT_Data\s15\10.pgm,1
Siamese\ATT_Data\s33\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s2\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s24\10.pgm,Siamese\ATT_Data\s24\7.pgm,1
Siamese\ATT_Data\s31\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s20\4.pgm,Siamese\ATT_Data\s20\8.pgm,1
Siamese\ATT_Data\s38\2.pgm,Siamese\ATT_Data\s38\1.pgm,1
Siamese\ATT_Data\s15\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s11\7.pgm,Siamese\ATT_Data\s11\8.pgm,1
Siamese\ATT_Data\s34\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s6\3.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s29\4.pgm,Siamese\ATT_Data\s29\3.pgm,1
Siamese\ATT_Data\s31\10.pgm,Siamese\ATT_Data\s31\8.pgm,1
Siamese\ATT_Data\s9\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s35\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s7\7.pgm,Siamese\ATT_Data\s7\7.pgm,1
Siamese\ATT_Data\s11\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s27\10.pgm,Siamese\ATT_Data\s27\10.pgm,1
Siamese\ATT_Data\s37\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s9\2.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s3\2.pgm,Siamese\ATT_Data\s3\5.pgm,1
Siamese\ATT_Data\s23\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s37\4.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s15\3.pgm,Siamese\ATT_Data\s15\10.pgm,1
Siamese\ATT_Data\s11\4.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s30\2.pgm,Siamese\ATT_Data\s30\2.pgm,1
Siamese\ATT_Data\s19\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s28\1.pgm,Siamese\ATT_Data\s28\5.pgm,1
Siamese\ATT_Data\s6\9.pgm,Siamese\ATT_Data\s6\5.pgm,1
Siamese\ATT_Data\s29\5.pgm,Siamese\ATT_Data\s29\2.pgm,1
Siamese\ATT_Data\s29\7.pgm,Siamese\ATT_Data\s29\3.pgm,1
Siamese\ATT_Data\s7\9.pgm,Siamese\ATT_Data\s7\7.pgm,1
Siamese\ATT_Data\s36\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s5\1.pgm,Siamese\ATT_Data\s5\7.pgm,1
Siamese\ATT_Data\s20\1.pgm,Siamese\ATT_Data\s20\8.pgm,1
Siamese\ATT_Data\s26\6.pgm,Siamese\ATT_Data\s26\10.pgm,1
Siamese\ATT_Data\s32\4.pgm,Siamese\ATT_Data\s32\4.pgm,1
Siamese\ATT_Data\s1\1.pgm,Siamese\ATT_Data\s1\4.pgm,1
Siamese\ATT_Data\s19\5.pgm,Siamese\ATT_Data\s19\6.pgm,1
Siamese\ATT_Data\s32\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s27\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s22\8.pgm,Siamese\ATT_Data\s22\5.pgm,1
Siamese\ATT_Data\s40\4.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s29\7.pgm,Siamese\ATT_Data\s29\1.pgm,1
Siamese\ATT_Data\s1\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s2\6.pgm,Siamese\ATT_Data\s2\1.pgm,1
Siamese\ATT_Data\s13\8.pgm,Siamese\ATT_Data\s13\8.pgm,1
Siamese\ATT_Data\s39\3.pgm,Siamese\ATT_Data\s39\4.pgm,1
Siamese\ATT_Data\s10\3.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s32\10.pgm,Siamese\ATT_Data\s32\9.pgm,1
Siamese\ATT_Data\s16\3.pgm,Siamese\ATT_Data\s16\10.pgm,1
Siamese\ATT_Data\s5\2.pgm,Siamese\ATT_Data\s5\3.pgm,1
Siamese\ATT_Data\s11\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s39\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s25\9.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s25\1.pgm,Siamese\ATT_Data\s25\10.pgm,1
Siamese\ATT_Data\s27\3.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s22\2.pgm,Siamese\ATT_Data\s22\4.pgm,1
Siamese\ATT_Data\s1\8.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s8\4.pgm,Siamese\ATT_Data\s8\6.pgm,1
Siamese\ATT_Data\s2\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s5\6.pgm,Siamese\ATT_Data\s5\1.pgm,1
Siamese\ATT_Data\s40\10.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s6\6.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s3\6.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s14\3.pgm,Siamese\ATT_Data\s14\10.pgm,1
Siamese\ATT_Data\s26\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s22\1.pgm,Siamese\ATT_Data\s22\1.pgm,1
Siamese\ATT_Data\s4\2.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s34\6.pgm,Siamese\ATT_Data\s34\7.pgm,1
Siamese\ATT_Data\s35\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s32\2.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s32\5.pgm,Siamese\ATT_Data\s32\1.pgm,1
Siamese\ATT_Data\s20\1.pgm,Siamese\ATT_Data\s20\7.pgm,1
Siamese\ATT_Data\s6\9.pgm,Siamese\ATT_Data\s6\3.pgm,1
Siamese\ATT_Data\s23\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s20\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s40\8.pgm,Siamese\ATT_Data\s40\1.pgm,1
Siamese\ATT_Data\s22\10.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s40\3.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s26\1.pgm,Siamese\ATT_Data\s26\3.pgm,1
Siamese\ATT_Data\s27\5.pgm,Siamese\ATT_Data\s27\5.pgm,1
Siamese\ATT_Data\s21\6.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s9\9.pgm,Siamese\ATT_Data\s9\4.pgm,1
Siamese\ATT_Data\s34\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s31\2.pgm,Siamese\ATT_Data\s31\8.pgm,1
Siamese\ATT_Data\s9\9.pgm,Siamese\ATT_Data\s9\1.pgm,1
Siamese\ATT_Data\s23\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s33\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s3\7.pgm,Siamese\ATT_Data\s3\8.pgm,1
Siamese\ATT_Data\s7\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s4\9.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s18\4.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s9\5.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s29\1.pgm,Siamese\ATT_Data\s29\8.pgm,1
Siamese\ATT_Data\s5\3.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s33\3.pgm,Siamese\ATT_Data\s33\2.pgm,1
Siamese\ATT_Data\s21\2.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s15\5.pgm,Siamese\ATT_Data\s15\2.pgm,1
Siamese\ATT_Data\s32\8.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s13\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s21\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s14\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s37\4.pgm,Siamese\ATT_Data\s37\1.pgm,1
Siamese\ATT_Data\s32\9.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s12\6.pgm,Siamese\ATT_Data\s12\7.pgm,1
Siamese\ATT_Data\s16\2.pgm,Siamese\ATT_Data\s16\10.pgm,1
Siamese\ATT_Data\s6\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s30\10.pgm,Siamese\ATT_Data\s30\8.pgm,1
Siamese\ATT_Data\s18\10.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s32\6.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s10\4.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s35\6.pgm,Siamese\ATT_Data\s35\8.pgm,1
Siamese\ATT_Data\s5\1.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s2\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s17\7.pgm,Siamese\ATT_Data\s17\10.pgm,1
Siamese\ATT_Data\s27\4.pgm,Siamese\ATT_Data\s27\8.pgm,1
Siamese\ATT_Data\s35\6.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s39\6.pgm,Siamese\ATT_Data\s39\5.pgm,1
Siamese\ATT_Data\s33\7.pgm,Siamese\ATT_Data\s33\4.pgm,1
Siamese\ATT_Data\s14\4.pgm,Siamese\ATT_Data\s14\7.pgm,1
Siamese\ATT_Data\s33\9.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s27\10.pgm,Siamese\ATT_Data\s27\5.pgm,1
Siamese\ATT_Data\s25\5.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s29\10.pgm,Siamese\ATT_Data\s29\1.pgm,1
Siamese\ATT_Data\s31\3.pgm,Siamese\ATT_Data\s31\9.pgm,1
Siamese\ATT_Data\s15\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s2\2.pgm,Siamese\ATT_Data\s2\5.pgm,1
Siamese\ATT_Data\s39\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s12\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s32\1.pgm,Siamese\ATT_Data\s32\4.pgm,1
Siamese\ATT_Data\s22\6.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s15\10.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s10\10.pgm,Siamese\ATT_Data\s10\6.pgm,1
Siamese\ATT_Data\s19\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s29\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s30\2.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s31\8.pgm,Siamese\ATT_Data\s31\5.pgm,1
Siamese\ATT_Data\s33\9.pgm,Siamese\ATT_Data\s33\4.pgm,1
Siamese\ATT_Data\s12\2.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s4\6.pgm,Siamese\ATT_Data\s4\10.pgm,1
Siamese\ATT_Data\s30\8.pgm,Siamese\ATT_Data\s30\2.pgm,1
Siamese\ATT_Data\s2\1.pgm,Siamese\ATT_Data\s2\5.pgm,1
Siamese\ATT_Data\s39\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s5\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s34\7.pgm,Siamese\ATT_Data\s34\9.pgm,1
Siamese\ATT_Data\s25\6.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s18\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s40\10.pgm,Siamese\ATT_Data\s40\1.pgm,1
Siamese\ATT_Data\s31\5.pgm,Siamese\ATT_Data\s31\5.pgm,1
Siamese\ATT_Data\s32\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s17\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s23\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s20\10.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s37\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s25\6.pgm,Siamese\ATT_Data\s25\5.pgm,1
Siamese\ATT_Data\s21\4.pgm,Siamese\ATT_Data\s21\1.pgm,1
Siamese\ATT_Data\s35\7.pgm,Siamese\ATT_Data\s35\8.pgm,1
Siamese\ATT_Data\s8\6.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s26\2.pgm,Siamese\ATT_Data\s26\7.pgm,1
Siamese\ATT_Data\s4\2.pgm,Siamese\ATT_Data\s4\5.pgm,1
Siamese\ATT_Data\s37\8.pgm,Siamese\ATT_Data\s37\1.pgm,1
Siamese\ATT_Data\s28\6.pgm,Siamese\ATT_Data\s28\3.pgm,1
Siamese\ATT_Data\s11\5.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s2\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s36\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s11\3.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s30\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s21\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s6\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s20\10.pgm,Siamese\ATT_Data\s20\1.pgm,1
Siamese\ATT_Data\s8\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s40\7.pgm,Siamese\ATT_Data\s40\10.pgm,1
Siamese\ATT_Data\s12\8.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s40\8.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s27\6.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s30\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s28\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s25\5.pgm,Siamese\ATT_Data\s25\9.pgm,1
Siamese\ATT_Data\s29\5.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s20\7.pgm,Siamese\ATT_Data\s20\8.pgm,1
Siamese\ATT_Data\s1\4.pgm,Siamese\ATT_Data\s1\9.pgm,1
Siamese\ATT_Data\s4\10.pgm,Siamese\ATT_Data\s4\2.pgm,1
Siamese\ATT_Data\s5\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s20\8.pgm,Siamese\ATT_Data\s20\1.pgm,1
Siamese\ATT_Data\s26\6.pgm,Siamese\ATT_Data\s26\4.pgm,1
Siamese\ATT_Data\s9\6.pgm,Siamese\ATT_Data\s9\1.pgm,1
Siamese\ATT_Data\s10\4.pgm,Siamese\ATT_Data\s10\1.pgm,1
Siamese\ATT_Data\s20\9.pgm,Siamese\ATT_Data\s20\7.pgm,1
Siamese\ATT_Data\s40\6.pgm,Siamese\ATT_Data\s40\8.pgm,1
Siamese\ATT_Data\s10\2.pgm,Siamese\ATT_Data\s10\10.pgm,1
Siamese\ATT_Data\s26\1.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s39\4.pgm,Siamese\ATT_Data\s39\6.pgm,1
Siamese\ATT_Data\s12\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s40\4.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s11\1.pgm,Siamese\ATT_Data\s11\3.pgm,1
Siamese\ATT_Data\s8\5.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s7\8.pgm,Siamese\ATT_Data\s7\8.pgm,1
Siamese\ATT_Data\s7\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s33\8.pgm,Siamese\ATT_Data\s33\5.pgm,1
Siamese\ATT_Data\s1\1.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s37\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s23\2.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s4\8.pgm,Siamese\ATT_Data\s4\4.pgm,1
Siamese\ATT_Data\s5\5.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s20\10.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s32\6.pgm,Siamese\ATT_Data\s32\10.pgm,1
Siamese\ATT_Data\s9\10.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s31\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s18\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s10\2.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s18\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s7\2.pgm,Siamese\ATT_Data\s7\2.pgm,1
Siamese\ATT_Data\s24\2.pgm,Siamese\ATT_Data\s24\10.pgm,1
Siamese\ATT_Data\s9\10.pgm,Siamese\ATT_Data\s9\8.pgm,1
Siamese\ATT_Data\s29\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s19\3.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s25\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s36\8.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s28\2.pgm,Siamese\ATT_Data\s28\5.pgm,1
Siamese\ATT_Data\s27\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s14\9.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s19\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s6\2.pgm,Siamese\ATT_Data\s6\4.pgm,1
Siamese\ATT_Data\s10\9.pgm,Siamese\ATT_Data\s10\4.pgm,1
Siamese\ATT_Data\s27\3.pgm,Siamese\ATT_Data\s27\5.pgm,1
Siamese\ATT_Data\s31\10.pgm,Siamese\ATT_Data\s31\7.pgm,1
Siamese\ATT_Data\s1\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s6\7.pgm,Siamese\ATT_Data\s6\4.pgm,1
Siamese\ATT_Data\s35\1.pgm,Siamese\ATT_Data\s35\9.pgm,1
Siamese\ATT_Data\s9\8.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s38\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s24\6.pgm,Siamese\ATT_Data\s24\2.pgm,1
Siamese\ATT_Data\s4\7.pgm,Siamese\ATT_Data\s4\5.pgm,1
Siamese\ATT_Data\s4\5.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s8\2.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s32\3.pgm,Siamese\ATT_Data\s32\9.pgm,1
Siamese\ATT_Data\s21\10.pgm,Siamese\ATT_Data\s21\5.pgm,1
Siamese\ATT_Data\s38\6.pgm,Siamese\ATT_Data\s38\10.pgm,1
Siamese\ATT_Data\s8\9.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s26\8.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s20\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s16\1.pgm,Siamese\ATT_Data\s16\7.pgm,1
Siamese\ATT_Data\s27\8.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s17\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s24\8.pgm,Siamese\ATT_Data\s24\6.pgm,1
Siamese\ATT_Data\s7\3.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s15\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s9\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s8\2.pgm,Siamese\ATT_Data\s8\6.pgm,1
Siamese\ATT_Data\s19\6.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s27\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s4\10.pgm,Siamese\ATT_Data\s4\5.pgm,1
Siamese\ATT_Data\s30\10.pgm,Siamese\ATT_Data\s30\6.pgm,1
Siamese\ATT_Data\s35\2.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s23\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s40\6.pgm,Siamese\ATT_Data\s40\4.pgm,1
Siamese\ATT_Data\s33\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s4\6.pgm,Siamese\ATT_Data\s4\3.pgm,1
Siamese\ATT_Data\s6\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s26\1.pgm,Siamese\ATT_Data\s26\7.pgm,1
Siamese\ATT_Data\s1\7.pgm,Siamese\ATT_Data\s1\4.pgm,1
Siamese\ATT_Data\s32\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s8\2.pgm,Siamese\ATT_Data\s8\9.pgm,1
Siamese\ATT_Data\s14\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s40\7.pgm,Siamese\ATT_Data\s40\4.pgm,1
Siamese\ATT_Data\s28\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s34\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s2\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s4\9.pgm,Siamese\ATT_Data\s4\2.pgm,1
Siamese\ATT_Data\s39\7.pgm,Siamese\ATT_Data\s39\7.pgm,1
Siamese\ATT_Data\s21\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s28\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s33\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s26\8.pgm,Siamese\ATT_Data\s26\3.pgm,1
Siamese\ATT_Data\s11\8.pgm,Siamese\ATT_Data\s11\3.pgm,1
Siamese\ATT_Data\s8\4.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s39\9.pgm,Siamese\ATT_Data\s39\4.pgm,1
Siamese\ATT_Data\s23\5.pgm,Siamese\ATT_Data\s23\9.pgm,1
Siamese\ATT_Data\s11\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s15\7.pgm,Siamese\ATT_Data\s15\5.pgm,1
Siamese\ATT_Data\s12\5.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s40\3.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s6\4.pgm,Siamese\ATT_Data\s6\6.pgm,1
Siamese\ATT_Data\s28\8.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s21\8.pgm,Siamese\ATT_Data\s21\5.pgm,1
Siamese\ATT_Data\s4\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s8\2.pgm,Siamese\ATT_Data\s8\8.pgm,1
Siamese\ATT_Data\s16\7.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s11\3.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s19\10.pgm,Siamese\ATT_Data\s19\6.pgm,1
Siamese\ATT_Data\s36\4.pgm,Siamese\ATT_Data\s36\1.pgm,1
Siamese\ATT_Data\s6\1.pgm,Siamese\ATT_Data\s6\5.pgm,1
Siamese\ATT_Data\s39\10.pgm,Siamese\ATT_Data\s39\5.pgm,1
Siamese\ATT_Data\s20\5.pgm,Siamese\ATT_Data\s20\1.pgm,1
Siamese\ATT_Data\s33\5.pgm,Siamese\ATT_Data\s33\5.pgm,1
Siamese\ATT_Data\s17\9.pgm,Siamese\ATT_Data\s17\10.pgm,1
Siamese\ATT_Data\s2\9.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s18\9.pgm,Siamese\ATT_Data\s18\8.pgm,1
Siamese\ATT_Data\s19\8.pgm,Siamese\ATT_Data\s19\6.pgm,1
Siamese\ATT_Data\s8\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s15\8.pgm,Siamese\ATT_Data\s15\5.pgm,1
Siamese\ATT_Data\s10\5.pgm,Siamese\ATT_Data\s10\6.pgm,1
Siamese\ATT_Data\s31\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s5\6.pgm,Siamese\ATT_Data\s5\7.pgm,1
Siamese\ATT_Data\s35\2.pgm,Siamese\ATT_Data\s35\9.pgm,1
Siamese\ATT_Data\s35\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s22\10.pgm,Siamese\ATT_Data\s22\8.pgm,1
Siamese\ATT_Data\s15\8.pgm,Siamese\ATT_Data\s15\9.pgm,1
Siamese\ATT_Data\s38\2.pgm,Siamese\ATT_Data\s38\2.pgm,1
Siamese\ATT_Data\s34\1.pgm,Siamese\ATT_Data\s34\9.pgm,1
Siamese\ATT_Data\s32\5.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s7\10.pgm,Siamese\ATT_Data\s7\9.pgm,1
Siamese\ATT_Data\s4\8.pgm,Siamese\ATT_Data\s29\2.pgm,0
